report_id,store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
8JUk,1230586660348188671,0.00,0.00,75.24,11.42,0.00,36.03
8JUk,297223327206882911,1.77,23.93,141.81,0.00,0.00,0.00
8JUk,5304141569268547165,8.05,23.00,126.77,0.00,0.00,0.00
8JUk,5304326382977733981,58.35,23.08,127.49,0.00,0.00,0.00
8JUk,298380606950830017,59.02,23.96,126.31,0.00,0.00,16.03
8JUk,297495694066894964,23.73,17.40,100.60,0.00,0.00,0.00
8JUk,298215208449301787,8.33,23.96,143.55,0.00,0.00,0.00
8JUk,299227269549581664,5.40,23.87,143.49,0.00,0.00,0.00
8JUk,306126560605825989,12.42,23.99,142.02,0.00,0.00,0.00
8JUk,299331931566263572,57.88,23.99,142.50,0.00,0.00,0.00
8JUk,306275589933283277,0.00,0.00,29.21,21.83,17.85,76.40
8JUk,299634262919578009,0.00,2.01,43.09,5.77,21.87,97.01
8JUk,301442141659374291,0.00,0.00,0.00,0.77,12.82,90.38
8JUk,404347378606512385,7.80,23.87,116.96,0.00,0.00,26.48
8JUk,405111180220825443,4.98,23.99,143.06,0.00,0.00,0.00
8JUk,407289621371048153,12.50,23.99,142.44,0.00,0.00,0.00
8JUk,408215883090381458,0.00,3.93,55.07,5.95,19.94,85.70
8JUk,409133169015950892,0.00,0.00,36.62,58.85,23.95,89.76
8JUk,413619203222352876,0.00,0.00,0.00,3.12,23.94,141.83
8JUk,417723991824089955,59.90,23.99,142.43,0.00,0.00,0.00
8JUk,420200517345159096,6.57,23.91,142.15,0.00,0.00,0.00
8JUk,421098262850813416,5.57,19.77,79.44,0.00,4.09,16.00
8JUk,421844698336219690,8.73,23.85,141.99,0.00,0.00,0.00
8JUk,422026089195847813,16.80,24.86,146.44,0.00,0.00,0.00
8JUk,422095329085009175,25.83,19.83,116.53,0.00,0.00,0.00
8JUk,422287243221341125,0.00,0.00,0.00,58.87,23.91,141.64
8JUk,422300373833879131,1.52,23.86,141.51,0.00,0.00,0.00
8JUk,410358335846520463,57.37,22.99,128.85,0.00,0.00,0.00
8JUk,414003284593290195,57.67,23.99,129.80,0.00,0.00,0.00
8JUk,430327590402163697,0.00,0.00,0.00,1.20,23.91,142.09
8JUk,426390918794091260,5.65,23.91,110.53,0.00,0.00,0.00
8JUk,430943579200368185,8.85,23.97,141.71,0.00,0.00,0.00
8JUk,427574610597814096,21.30,1.94,61.02,0.00,0.00,0.00
8JUk,434158555967765765,12.03,23.98,142.40,0.00,0.00,0.00
